TR,K x,K y,time
4,-0.0321777672429788,0.00694803604558233,0.000276923076923077
4,-0.0298142753387207,0.00274560197975037,0.000292307692307692
4,-0.0265137539136394,-0.000769096354635882,0.000307692307692308
4,-0.0224680172760533,-0.00339179746579055,0.000323076923076923
4,-0.0179121889336846,-0.00497007949826394,0.000338461538461538
4,-0.0131110370700295,-0.0054122184371505,0.000353846153846154
4,-0.00834358717992672,-0.00469251877443178,0.000369230769230769
4,-0.00388690612201376,-0.00285280683850315,0.000384615384615385
5,0,0,0
5,0.00207394220743903,0.00435262102409127,1.53846153846154e-05
5,0.00304596903179408,0.00907508964885656,3.07692307692308e-05
5,0.00285958980720739,0.0138929531632995,4.61538461538462e-05
5,0.00152563621675103,0.0185262148521821,6.15384615384615e-05
5,-0.0008783672056217,0.0227056063873674,7.69230769230769e-05
5,-0.0042127085191994,0.0261882367243006,9.23076923076923e-05
5,-0.00828360792667446,0.0287717080466453,0.000107692307692308
5,-0.0128544795516017,0.0303058783916831,0.000123076923076923
5,-0.0176596809495827,0.0307015873554425,0.000138461538461538
5,-0.0224199512815633,0.0299358377712936,0.000153846153846154
5,-0.0268586409387273,0.0280531322216805,0.000169230769230769
5,-0.0307177894121808,0.0251628867097906,0.000184615384615385
5,-0.0337731170200806,0.0214330717991599,0.0002
5,-0.0358470592275196,0.0170804507750686,0.000215384615384615
5,-0.0368190860518747,0.0123579821503033,0.000230769230769231
5,-0.036632706827288,0.00754011863586033,0.000246153846153846
5,-0.0352987532368316,0.00290685694697775,0.000261538461538462
5,-0.0328947498144589,-0.00127253458820755,0.000276923076923077
5,-0.0295604085008812,-0.00475516492514073,0.000292307692307692
5,-0.0254895090934062,-0.00733863624748544,0.000307692307692308
5,-0.0209186374684789,-0.00887280659252319,0.000323076923076923
5,-0.0161134360704979,-0.00926851555628267,0.000338461538461538
5,-0.0113531657385173,-0.00850276597213376,0.000353846153846154
5,-0.00691447608135334,-0.00662006042252069,0.000369230769230769
5,-0.00305532760789984,-0.00372981491063075,0.000384615384615385
6,0,0,0
6,0.000926332667926751,0.0047316438842637,1.53846153846154e-05
6,0.000693391292729947,0.00954748071443972,3.07692307692308e-05
6,-0.000685286419571422,0.0141676315588129,4.61538461538462e-05
6,-0.00312957673162798,0.0183235900438732,6.15384615384615e-05
6,-0.00649742637513679,0.0217738269687634,7.69230769230769e-05
6,-0.0105931081704525,0.0243178271045099,9.23076923076923e-05
6,-0.0151785959788289,0.0258077424102872,0.000107692307692308
6,-0.0199873979164132,0.0261569844241455,0.000123076923076923
6,-0.0247400438938769,0.0253452564696823,0.000138461538461538
6,-0.0291603274021749,0.0234197332250999,0.000153846153846154
6,-0.0329913576308818,0.0204923191023814,0.000169230769230769
6,-0.0360104890283335,0.0167331447696216,0.000184615384615385
6,-0.0380422606518061,0.0123606797749979,0.0002
6,-0.0389685933197329,0.00762903589073419,0.000215384615384615
6,-0.0387356519445361,0.00281319906055818,0.000230769230769231
6,-0.0373569742322347,-0.00180695178381495,0.000246153846153846
6,-0.0349126839201782,-0.00596291026887527,0.000261538461538462
6,-0.0315448342766693,-0.0094131471937655,0.000276923076923077
6,-0.0274491524813537,-0.011957147329512,0.000292307692307692
6,-0.0228636646729773,-0.0134470626352893,0.000307692307692308
6,-0.0180548627353929,-0.0137963046491476,0.000323076923076923
6,-0.0133022167579293,-0.0129845766946844,0.000338461538461538
6,-0.00888193324963127,-0.011059053450102,0.000353846153846154
